행정구역+A1:R29,2014년_1인세대,2015년_1인세대,2016년_1인세대,2017년_1인세대,2018년_1인세대,2019년_1인세대,2020년_1인세대,2021년_1인세대,2022년_1인세대,2023년_1인세대,2014년_전체세대,2015년_전체세대,2016년_전체세대,2017년_전체세대,2018년_전체세대,2019년_전체세대,2020년_전체세대,2021년_전체세대,2022년_전체세대,2023년_전체세대,행정구역1,행정구역코드,행정시,행정구,1인가구비율
경기도 광주시 (4161000000),"37,847","39,919","42,513","45,804","50,314","54,324","58,835","59,969","61,079","60,606","117,808","124,114","131,303","140,112","150,055","156,884","164,320","167,673","170,497","170,845",경기도 광주시 ,4161000000,경기도,광주시 ,0.605
경기도 양주시 (4163000000),"24,336","24,799","25,199","27,429","30,007","32,456","34,762","37,208","39,012","42,558","78,499","80,109","80,790","85,089","89,088","93,026","97,998","102,314","106,361","117,518",경기도 양주시 ,4163000000,경기도,양주시 ,0.425
경기도 포천시 (4165000000),"26,916","27,534","27,937","28,680","29,792","30,888","32,467","34,095","34,423","34,706","67,275","67,913","68,354","68,779","69,429","69,976","71,315","73,584","73,438","72,876",경기도 포천시 ,4165000000,경기도,포천시 ,0.346
경기도 여주시 (4167000000),"17,264","17,670","18,252","19,041","19,685","20,437","21,481","22,242","22,922","24,130","46,302","47,117","47,889","48,892","49,542","50,334","51,748","52,731","53,946","55,514",경기도 여주시 ,4167000000,경기도,여주시 ,0.241
경기도 연천군 (4180000000),"8,944","9,605","9,884","9,886","9,988","10,349","10,816","10,936","10,836","11,015","20,722","21,381","21,656","21,585","21,526","21,630","22,028","22,002","21,858","21,943",경기도 연천군 ,4180000000,경기도,연천군 ,0.11
경기도 가평군 (4182000000),"12,468","12,772","13,273","13,751","14,257","14,829","15,574","15,704","16,034","16,380","27,966","28,551","29,212","29,840","30,359","30,768","31,533","31,775","32,140","32,606",경기도 가평군 ,4182000000,경기도,가평군 ,0.163
경기도 양평군 (4183000000),"19,616","20,028","21,088","22,754","23,421","24,476","25,740","26,220","26,415","27,443","47,254","48,629","50,544","53,186","54,422","55,782","57,675","59,094","59,788","61,811",경기도 양평군 ,4183000000,경기도,양평군 ,0.274
강원도 춘천시 (4211000000),"38,999","40,157","41,284","42,496","43,990","46,433","49,567","52,489","55,337","57,304","113,095","115,044","117,014","118,450","120,190","123,006","126,685","130,277","133,668","135,498",강원도 춘천시 ,4211000000,강원도,춘천시 ,0.572
강원도 원주시 (4213000000),"47,051","49,240","51,350","53,674","56,269","59,960","63,645","66,957","69,704","71,709","134,487","138,380","142,136","145,521","149,166","154,583","160,307","164,895","168,755","171,275",강원도 원주시 ,4213000000,강원도,원주시 ,0.715
강원도 강릉시 (4215000000),"34,742","35,632","36,760","37,673","38,569","40,625","42,783","44,073","44,954","45,656","93,007","93,774","94,781","95,963","96,859","99,086","101,424","102,879","103,352","103,682",강원도 강릉시 ,4215000000,강원도,강릉시 ,0.455
강원도 동해시 (4217000000),"14,603","14,770","15,005","15,439","15,735","16,202","17,239","17,829","18,306","18,532","40,208","40,338","40,468","40,730","40,784","41,141","42,306","42,916","43,251","43,361",강원도 동해시 ,4217000000,강원도,동해시 ,0.185
강원도 태백시 (4219000000),"9,587","9,738","9,858","9,682","9,909","10,135","10,147","9,650","9,604","9,901","22,352","22,293","22,265","21,889","21,832","21,798","21,588","20,731","20,324","20,377",강원도 태백시 ,4219000000,강원도,태백시 ,0.099
강원도 속초시 (4221000000),"15,070","15,165","15,204","15,580","15,787","16,385","17,357","18,094","18,488","18,652","37,032","37,084","37,193","37,772","37,993","38,689","39,932","40,706","41,193","41,330",강원도 속초시 ,4221000000,강원도,속초시 ,0.186
강원도 삼척시 (4223000000),"16,913","16,499","16,265","16,165","16,428","16,466","16,392","16,413","16,959","17,139","35,204","34,601","34,147","33,863","34,227","34,082","33,635","33,184","33,715","33,700",강원도 삼척시 ,4223000000,강원도,삼척시 ,0.171
강원도 홍천군 (4272000000),"12,430","12,618","12,941","13,409","13,698","14,299","15,328","15,484","15,768","16,006","31,183","31,443","31,851","32,467","32,760","33,142","34,187","34,237","34,510","34,594",강원도 홍천군 ,4272000000,강원도,홍천군 ,0.16
강원도 횡성군 (4273000000),"8,133","8,534","8,946","9,289","9,714","10,143","10,568","10,740","10,865","10,960","20,348","20,821","21,283","21,777","22,411","22,832","23,276","23,593","23,767","23,908",강원도 횡성군 ,4273000000,강원도,횡성군 ,0.109
강원도 영월군 (4275000000),"9,049","9,461","9,808","10,276","10,640","10,839","11,169","11,128","11,375","11,469","19,597","19,990","20,255","20,715","21,011","21,044","21,246","21,143","21,288","21,276",강원도 영월군 ,4275000000,강원도,영월군 ,0.114
강원도 평창군 (4276000000),"8,834","9,113","9,256","9,562","9,820","10,122","10,400","10,552","10,805","10,920","20,279","20,601","20,745","21,008","21,172","21,379","21,618","21,665","21,927","21,993",강원도 평창군 ,4276000000,강원도,평창군 ,0.109
강원도 정선군 (4277000000),"9,191","9,392","9,536","9,683","10,040","10,371","10,771","10,413","10,469","10,297","19,347","19,519","19,571","19,554","19,761","19,974","20,230","19,713","19,533","19,287",강원도 정선군 ,4277000000,강원도,정선군 ,0.103
강원도 철원군 (4278000000),"8,001","9,744","9,569","9,451","9,450","9,349","9,422","9,281","9,248","9,349","20,337","22,017","21,778","21,583","21,451","21,216","21,182","20,862","20,605","20,501",강원도 철원군 ,4278000000,강원도,철원군 ,0.093
강원도 화천군 (4279000000),"7,230","7,452","7,027","6,842","6,438","6,427","6,674","6,431","6,129","6,154","13,474","13,668","13,207","13,065","12,564","12,603","12,862","12,556","12,114","12,052",강원도 화천군 ,4279000000,강원도,화천군 ,0.061
강원도 양구군 (4280000000),"4,995","5,328","5,562","5,504","5,212","5,081","5,119","5,011","5,023","5,044","10,778","11,140","11,355","11,340","11,058","10,840","10,828","10,660","10,609","10,544",강원도 양구군 ,4280000000,강원도,양구군 ,0.05
강원도 인제군 (4281000000),"6,304","7,298","7,182","7,257","7,334","7,449","7,694","8,042","8,270","8,501","14,613","15,594","15,426","15,523","15,550","15,583","15,900","16,380","16,631","16,787",강원도 인제군 ,4281000000,강원도,인제군 ,0.085
강원도 고성군 (4282000000),"7,988","7,925","7,955","8,088","7,588","7,436","7,637","7,998","8,251","8,367","15,408","15,324","15,377","15,519","14,763","14,445","14,546","15,064","15,291","15,431",강원도 고성군 ,4282000000,강원도,고성군 ,0.083
강원도 양양군 (4283000000),"5,916","6,101","6,183","6,245","6,347","6,579","6,994","7,185","7,418","7,556","13,229","13,374","13,402","13,526","13,693","14,081","14,549","14,759","14,948","15,039",강원도 양양군 ,4283000000,강원도,양양군 ,0.075
충청북도 청주시 (4311000000),"111,181","116,614","120,176","124,003","130,264","136,200","149,981","159,447","165,608","169,579","330,551","336,408","341,596","346,000","353,320","360,496","376,252","387,016","393,697","399,092",충청북도 청주시 ,4311000000,충청북도,청주시 ,1.692
충청북도 충주시 (4313000000),"30,388","31,152","32,298","33,364","35,468","37,732","39,966","41,618","42,850","44,339","86,591","87,463","88,900","90,246","93,163","95,648","98,020","99,651","100,843","102,143",충청북도 충주시 ,4313000000,충청북도,충주시 ,0.442
충청북도 제천시 (4315000000),"22,174","22,842","23,790","24,765","25,211","26,349","27,187","28,083","29,252","30,198","59,233","59,856","60,946","61,949","62,367","63,417","63,945","64,540","65,436","66,038",충청북도 제천시 ,4315000000,충청북도,제천시 ,0.301
충청북도 보은군 (4372000000),"6,580","6,830","6,933","7,141","7,302","7,591","8,098","8,248","8,255","8,242","15,864","16,147","16,304","16,501","16,600","16,684","16,981","17,039","16,959","16,864",충청북도 보은군 ,4372000000,충청북도,보은군 ,0.082
충청북도 옥천군 (4373000000),"8,391","8,717","8,881","9,168","9,486","9,903","10,439","11,170","11,668","11,867","22,608","22,967","23,092","23,290","23,681","24,004","24,437","25,104","25,415","25,406",충청북도 옥천군 ,4373000000,충청북도,옥천군 ,0.118
충청북도 영동군 (4374000000),"9,467","9,984","10,313","10,753","11,071","11,488","11,605","11,288","11,444","11,572","23,111","23,586","23,840","24,132","24,370","24,509","24,414","23,813","23,794","23,722",충청북도 영동군 ,4374000000,충청북도,영동군 ,0.115
충청북도 증평군 (4374500000),"5,579","6,039","6,263","6,612","6,954","7,366","7,947","8,139","8,652","8,939","14,727","15,790","16,238","16,694","16,854","17,283","17,697","17,832","18,583","18,944",충청북도 증평군 ,4374500000,충청북도,증평군 ,0.089
충청북도 진천군 (4375000000),"11,166","11,933","12,326","13,438","14,582","15,753","17,470","18,889","19,814","20,046","28,285","29,750","30,746","32,898","35,276","37,213","39,594","41,323","42,398","42,751",충청북도 진천군 ,4375000000,충청북도,진천군 ,0.2
충청북도 괴산군 (4376000000),"8,861","9,208","9,347","10,119","10,394","10,776","11,680","11,594","11,280","11,434","19,151","19,620","19,905","20,577","20,899","21,256","22,145","21,851","21,347","21,304",충청북도 괴산군 ,4376000000,충청북도,괴산군 ,0.114
충청북도 음성군 (4377000000),"17,308","18,646","19,599","20,051","20,988","22,105","22,930","23,710","24,512","24,853","41,749","43,279","44,649","45,069","45,571","46,402","46,831","47,431","48,292","48,431",충청북도 음성군 ,4377000000,충청북도,음성군 ,0.248
충청북도 단양군 (4380000000),"6,127","6,332","6,506","6,658","6,947","7,193","7,416","7,285","7,466","7,670","14,451","14,637","14,744","14,784","15,119","15,211","15,328","15,072","15,084","15,272",충청북도 단양군 ,4380000000,충청북도,단양군 ,0.077
충청남도 천안시 (4413000000),"90,035","91,616","94,702","99,311","104,917","110,370","118,016","124,351","129,461","133,132","243,364","247,695","254,676","263,434","273,851","281,333","291,425","297,987","302,893","306,418",충청남도 천안시 ,4413000000,충청남도,천안시 ,1.328
충청남도 공주시 (4415000000),"18,854","19,202","19,685","20,552","21,404","21,948","22,640","23,606","24,642","25,544","48,794","48,632","48,835","49,393","50,134","50,519","50,966","51,580","52,394","53,019",충청남도 공주시 ,4415000000,충청남도,공주시 ,0.255
충청남도 보령시 (4418000000),"17,592","18,419","18,835","19,376","19,955","20,814","21,934","22,369","22,996","23,398","45,831","46,739","47,011","47,407","47,705","48,324","49,361","49,419","49,694","49,709",충청남도 보령시 ,4418000000,충청남도,보령시 ,0.233
충청남도 아산시 (4420000000),"44,492","44,754","45,093","47,597","50,253","52,836","56,927","60,741","64,144","67,724","120,475","122,131","124,223","129,188","132,159","135,159","139,580","145,869","152,249","159,108",충청남도 아산시 ,4420000000,충청남도,아산시 ,0.676
충청남도 서산시 (4421000000),"23,072","24,130","24,738","25,723","27,377","28,604","30,666","32,589","33,500","34,724","68,248","69,993","70,991","72,469","75,091","76,748","79,103","81,407","82,433","83,565",충청남도 서산시 ,4421000000,충청남도,서산시 ,0.346
충청남도 논산시 (4423000000),"22,521","23,183","23,555","23,934","24,487","25,229","26,307","27,162","27,729","27,851","55,451","56,095","56,347","56,679","56,729","57,196","57,826","58,048","58,137","57,648",충청남도 논산시 ,4423000000,충청남도,논산시 ,0.278
충청남도 계룡시 (4425000000),"3,194","3,241","3,413","3,779","3,997","4,187","4,654","5,042","5,548","6,199","13,894","14,397","14,858","15,647","15,860","15,967","16,531","17,152","18,051","19,404",충청남도 계룡시 ,4425000000,충청남도,계룡시 ,0.062
충청남도 당진시 (4427000000),"27,805","28,791","29,664","30,580","31,255","32,005","33,635","35,096","36,302","37,444","70,502","72,074","73,434","74,586","75,540","76,162","77,661","79,526","81,199","83,058",충청남도 당진시 ,4427000000,충청남도,당진시 ,0.374
충청남도 금산군 (4471000000),"10,091","10,329","10,542","10,843","11,197","11,387","11,987","12,104","12,462","12,860","24,913","25,154","25,342","25,440","25,588","25,521","25,897","25,893","26,180","26,562",충청남도 금산군 ,4471000000,충청남도,금산군 ,0.128
충청남도 부여군 (4476000000),"12,810","13,308","13,697","14,066","14,464","14,948","15,410","15,397","15,398","15,441","32,362","32,733","32,903","32,999","33,193","33,341","33,562","33,257","32,945","32,667",충청남도 부여군 ,4476000000,충청남도,부여군 ,0.154
충청남도 서천군 (4477000000),"10,718","10,840","11,036","11,176","11,416","11,743","12,342","12,438","12,681","12,856","26,670","26,622","26,583","26,544","26,433","26,410","26,794","26,646","26,666","26,543",충청남도 서천군 ,4477000000,충청남도,서천군 ,0.128
충청남도 청양군 (4479000000),"6,048","6,373","6,816","7,359","7,651","7,792","8,001","8,178","8,341","8,565","14,859","15,226","15,668","16,147","16,274","16,296","16,378","16,426","16,567","16,722",충청남도 청양군 ,4479000000,충청남도,청양군 ,0.085
충청남도 홍성군 (4480000000),"14,593","15,293","16,140","16,916","17,534","18,252","18,777","18,990","19,495","20,308","39,530","41,008","43,555","44,833","45,358","45,920","46,588","46,746","46,871","47,463",충청남도 홍성군 ,4480000000,충청남도,홍성군 ,0.203
충청남도 예산군 (4481000000),"14,244","14,662","14,933","15,374","15,899","16,232","17,136","17,512","17,769","18,009","37,369","37,488","37,251","37,489","38,060","38,290","38,946","39,051","39,605","40,245",충청남도 예산군 ,4481000000,충청남도,예산군 ,0.18
충청남도 태안군 (4482500000),"12,048","12,561","13,151","13,832","14,384","14,937","15,455","15,958","16,315","16,563","29,197","29,981","30,617","31,244","31,636","32,069","32,535","32,908","33,209","33,318",충청남도 태안군 ,4482500000,충청남도,태안군 ,0.165
전라북도 전주시 (4511000000),"78,196","80,845","83,735","86,529","90,998","96,754","105,710","114,958","119,468","121,670","251,702","254,710","258,006","260,683","266,541","273,753","284,106","293,207","296,241","296,394",전라북도 전주시 ,4511000000,전라북도,전주시 ,1.214
전라북도 군산시 (4513000000),"39,028","39,780","40,684","41,505","43,351","45,003","48,481","49,772","51,341","52,726","113,098","114,382","115,329","115,657","117,068","118,264","121,220","122,250","123,176","123,996",전라북도 군산시 ,4513000000,전라북도,군산시 ,0.526
전라북도 익산시 (4514000000),"41,548","42,095","43,377","46,403","47,872","49,593","52,374","54,792","55,936","57,012","122,345","122,857","123,675","126,333","126,516","126,876","128,400","129,962","130,068","130,197",전라북도 익산시 ,4514000000,전라북도,익산시 ,0.569
전라북도 정읍시 (4518000000),"20,841","21,233","21,555","22,231","22,984","23,857","25,261","25,619","26,414","27,039","51,988","52,203","52,330","52,722","53,110","53,582","54,335","54,242","54,528","54,734",전라북도 정읍시 ,4518000000,전라북도,정읍시 ,0.27
전라북도 남원시 (4519000000),"14,265","14,552","14,987","15,345","15,965","16,601","17,847","18,380","18,872","19,238","37,046","37,213","37,529","37,686","38,054","38,427","39,457","39,670","39,799","39,839",전라북도 남원시 ,4519000000,전라북도,남원시 ,0.192
전라북도 김제시 (4521000000),"17,789","17,917","18,271","18,541","18,875","19,586","20,550","20,990","21,661","22,180","41,535","41,438","41,601","41,712","41,618","41,850","42,459","42,509","43,215","43,625",전라북도 김제시 ,4521000000,전라북도,김제시 ,0.221
전라북도 완주군 (4571000000),"14,372","15,690","16,003","16,463","16,811","17,193","18,956","19,715","20,552","22,212","38,090","40,750","41,204","41,835","41,881","41,800","43,275","44,020","45,356","48,652",전라북도 완주군 ,4571000000,전라북도,완주군 ,0.222
전라북도 진안군 (4572000000),"5,596","5,748","5,878","6,096","6,264","6,461","6,737","6,854","6,964","7,085","12,504","12,571","12,654","12,927","13,023","13,131","13,406","13,494","13,513","13,593",전라북도 진안군 ,4572000000,전라북도,진안군 ,0.071
전라북도 무주군 (4573000000),"5,016","5,092","5,210","5,311","5,616","5,900","6,263","6,482","6,683","6,855","11,761","11,821","11,893","12,001","12,204","12,421","12,674","12,823","12,932","13,008",전라북도 무주군 ,4573000000,전라북도,무주군 ,0.068
전라북도 장수군 (4574000000),"4,582","4,749","4,882","5,022","5,202","5,327","5,684","5,809","5,963","5,946","10,787","10,909","11,123","11,144","11,327","11,308","11,554","11,584","11,611","11,542",전라북도 장수군 ,4574000000,전라북도,장수군 ,0.059
전라북도 임실군 (4575000000),"6,283","6,343","6,424","6,663","6,942","7,241","7,615","7,896","8,052","8,168","14,157","14,269","14,332","14,557","14,790","14,788","14,801","14,899","14,992","14,916",전라북도 임실군 ,4575000000,전라북도,임실군 ,0.081
전라북도 순창군 (4577000000),"5,733","5,782","5,829","5,919","6,015","6,173","6,622","6,755","6,919","7,131","13,753","13,784","13,819","13,872","13,877","13,816","14,097","13,996","14,132","14,332",전라북도 순창군 ,4577000000,전라북도,순창군 ,0.071
전라북도 고창군 (4579000000),"12,714","13,032","13,312","13,644","13,804","14,051","14,697","14,648","14,771","15,096","28,435","28,671","28,900","29,159","28,802","28,735","29,057","28,757","28,592","28,733",전라북도 고창군 ,4579000000,전라북도,고창군 ,0.151
전라북도 부안군 (4580000000),"12,189","12,386","12,728","12,879","13,017","13,345","13,992","14,121","14,443","14,718","27,361","27,408","27,689","27,628","27,424","27,440","27,819","27,588","27,694","27,632",전라북도 부안군 ,4580000000,전라북도,부안군 ,0.147
전라남도 목포시 (4611000000),"37,219","37,415","38,387","38,654","39,955","41,371","43,555","44,713","46,009","47,118","99,955","100,172","101,180","100,845","101,609","102,481","103,316","103,162","104,039","104,375",전라남도 목포시 ,4611000000,전라남도,목포시 ,0.47
전라남도 여수시 (4613000000),"38,046","39,518","40,842","41,953","43,721","46,677","50,353","52,302","53,007","53,661","116,100","117,602","118,910","119,684","120,810","123,677","126,988","128,169","128,720","128,733",전라남도 여수시 ,4613000000,전라남도,여수시 ,0.535
전라남도 순천시 (4615000000),"32,264","33,296","34,641","36,190","38,099","40,570","44,170","46,619","47,923","49,438","105,841","107,871","109,650","111,677","113,942","116,946","121,488","124,029","124,828","126,412",전라남도 순천시 ,4615000000,전라남도,순천시 ,0.493
전라남도 나주시 (4617000000),"19,896","21,599","22,732","24,111","25,593","26,526","28,326","29,198","29,825","30,076","42,886","46,444","49,378","52,303","54,872","56,090","58,025","59,292","59,865","60,419",전라남도 나주시 ,4617000000,전라남도,나주시 ,0.3
전라남도 광양시 (4623000000),"18,876","19,475","20,658","21,745","22,903","24,430","24,939","26,380","27,524","28,576","58,698","59,789","61,487","62,790","64,186","65,725","65,668","67,103","68,734","70,162",전라남도 광양시 ,4623000000,전라남도,광양시 ,0.285
전라남도 담양군 (4671000000),"9,566","9,722","10,009","10,417","10,920","11,478","12,356","12,673","12,734","12,586","21,735","21,953","22,334","22,710","23,129","23,521","24,369","24,773","24,787","24,557",전라남도 담양군 ,4671000000,전라남도,담양군 ,0.126
전라남도 곡성군 (4672000000),"6,920","7,117","7,122","7,348","7,500","7,842","8,184","8,452","8,580","8,722","14,782","14,994","14,960","15,090","15,132","15,289","15,414","15,536","15,512","15,577",전라남도 곡성군 ,4672000000,전라남도,곡성군 ,0.087
전라남도 구례군 (4673000000),"5,298","5,508","5,709","5,868","6,093","6,323","6,679","6,851","6,948","7,005","12,424","12,672","12,883","13,106","13,151","13,243","13,414","13,462","13,429","13,432",전라남도 구례군 ,4673000000,전라남도,구례군 ,0.07
전라남도 고흥군 (4677000000),"15,727","15,928","16,062","16,383","16,610","17,097","17,950","18,348","18,715","18,898","34,657","34,583","34,508","34,516","34,536","34,791","35,290","35,379","35,445","35,360",전라남도 고흥군 ,4677000000,전라남도,고흥군 ,0.189
전라남도 보성군 (4678000000),"10,385","10,553","10,908","11,068","11,372","11,544","12,209","12,370","12,399","12,266","22,345","22,384","22,449","22,428","22,459","22,276","22,628","22,511","22,282","21,967",전라남도 보성군 ,4678000000,전라남도,보성군 ,0.122
전라남도 화순군 (4679000000),"12,012","12,206","12,515","12,760","13,232","13,739","14,810","15,661","15,909","15,917","29,430","29,405","29,575","29,671","29,928","30,103","31,090","32,012","32,093","31,976",전라남도 화순군 ,4679000000,전라남도,화순군 ,0.159
전라남도 장흥군 (4680000000),"9,635","9,882","9,571","9,813","9,880","10,069","10,576","10,536","10,388","10,520","20,603","20,890","20,161","20,232","20,139","20,143","20,431","20,103","19,788","19,691",전라남도 장흥군 ,4680000000,전라남도,장흥군 ,0.105
전라남도 강진군 (4681000000),"8,510","8,501","8,564","8,686","8,844","9,024","9,529","9,696","9,831","9,884","18,753","18,577","18,414","18,358","18,352","18,351","18,612","18,592","18,550","18,449",전라남도 강진군 ,4681000000,전라남도,강진군 ,0.099
전라남도 해남군 (4682000000),"15,259","15,480","15,546","15,763","15,750","16,145","16,946","17,273","17,468","17,686","35,344","35,354","35,231","35,071","34,745","34,824","35,259","35,225","35,074","34,916",전라남도 해남군 ,4682000000,전라남도,해남군 ,0.176
전라남도 영암군 (4683000000),"12,286","12,317","12,543","12,625","12,854","13,416","14,074","14,632","14,963","15,458","27,353","27,242","27,190","26,885","26,851","27,362","27,827","28,197","28,353","28,817",전라남도 영암군 ,4683000000,전라남도,영암군 ,0.154
전라남도 무안군 (4684000000),"13,215","13,587","14,078","14,525","14,870","15,451","17,506","18,775","19,313","19,710","34,562","35,086","35,500","36,235","36,410","36,722","40,114","42,739","43,119","43,436",전라남도 무안군 ,4684000000,전라남도,무안군 ,0.197
전라남도 함평군 (4686000000),"8,535","8,663","8,833","9,124","9,352","9,535","9,978","10,118","10,332","10,419","17,489","17,547","17,591","17,790","17,751","17,837","17,995","17,980","18,010","18,065",전라남도 함평군 ,4686000000,전라남도,함평군 ,0.104
전라남도 영광군 (4687000000),"11,172","11,301","11,466","11,812","12,135","12,644","13,237","13,558","13,979","14,230","26,040","26,070","26,054","26,244","26,378","26,687","27,138","27,112","27,549","27,602",전라남도 영광군 ,4687000000,전라남도,영광군 ,0.142
전라남도 장성군 (4688000000),"9,231","9,413","9,496","9,842","10,108","11,060","11,700","11,864","12,124","12,361","21,292","21,529","21,557","21,885","22,095","22,850","23,178","23,160","23,358","23,400",전라남도 장성군 ,4688000000,전라남도,장성군 ,0.123
전라남도 완도군 (4689000000),"11,048","11,366","11,621","11,801","12,108","12,345","12,842","12,962","13,022","13,094","25,321","25,535","25,688","25,750","25,835","25,872","26,241","26,029","25,781","25,602",전라남도 완도군 ,4689000000,전라남도,완도군 ,0.131
전라남도 진도군 (4690000000),"7,312","7,434","7,519","7,768","8,000","8,089","8,795","8,935","8,946","9,101","15,865","15,932","15,911","16,060","16,110","16,102","16,840","16,700","16,578","16,548",전라남도 진도군 ,4690000000,전라남도,진도군 ,0.091
전라남도 신안군 (4691000000),"11,038","11,280","11,205","11,319","11,382","11,433","11,843","12,034","12,097","12,241","22,192","22,270","22,077","22,046","21,883","21,736","21,827","21,843","21,816","21,946",전라남도 신안군 ,4691000000,전라남도,신안군 ,0.122
경상북도 포항시 (4711000000),"64,220","66,940","68,609","70,938","74,208","78,399","84,179","90,704","92,545","94,970","207,515","210,690","212,095","214,012","216,654","220,328","225,693","232,201","232,371","233,932",경상북도 포항시 ,4711000000,경상북도,포항시 ,0.947
경상북도 경주시 (4713000000),"41,998","42,881","43,987","45,307","46,988","48,807","51,987","53,763","55,264","56,225","111,848","112,609","113,798","114,942","116,805","118,542","121,505","123,071","124,027","124,577",경상북도 경주시 ,4713000000,경상북도,경주시 ,0.561
경상북도 김천시 (4715000000),"21,360","23,705","24,202","25,157","25,380","27,122","29,041","30,274","31,153","31,761","57,275","60,757","62,202","63,360","63,443","65,273","67,122","68,393","69,038","69,125",경상북도 김천시 ,4715000000,경상북도,김천시 ,0.317
경상북도 안동시 (4717000000),"26,518","27,538","28,128","28,865","29,827","31,331","33,640","34,949","35,695","36,767","71,881","73,108","73,714","73,816","73,863","74,827","76,915","77,666","77,759","78,283",경상북도 안동시 ,4717000000,경상북도,안동시 ,0.367
경상북도 구미시 (4719000000),"58,102","58,601","58,605","60,171","61,274","63,802","67,806","71,258","74,228","77,345","166,686","167,635","168,487","171,387","173,269","176,015","179,889","182,645","184,786","187,139",경상북도 구미시 ,4719000000,경상북도,구미시 ,0.772
경상북도 영주시 (4721000000),"17,958","18,167","18,713","18,982","19,398","19,927","20,991","21,889","22,598","23,667","48,093","48,186","48,678","48,845","48,982","49,063","49,718","50,271","50,663","51,423",경상북도 영주시 ,4721000000,경상북도,영주시 ,0.236
경상북도 영천시 (4723000000),"19,508","20,080","20,437","21,494","22,708","24,093","25,705","26,711","27,483","28,532","46,355","47,110","47,509","48,564","50,020","51,439","52,861","53,904","54,431","54,976",경상북도 영천시 ,4723000000,경상북도,영천시 ,0.285
경상북도 상주시 (4725000000),"17,827","18,352","18,897","19,318","19,974","21,437","22,221","22,713","23,266","23,830","45,845","46,313","46,750","47,048","47,527","48,796","48,856","48,965","49,315","49,493",경상북도 상주시 ,4725000000,경상북도,상주시 ,0.238
경상북도 문경시 (4728000000),"13,637","14,128","14,402","14,584","15,023","16,019","16,940","17,911","18,069","18,288","34,159","34,625","34,643","34,555","34,644","35,587","36,268","37,069","37,056","36,814",경상북도 문경시 ,4728000000,경상북도,문경시 ,0.182
경상북도 경산시 (4729000000),"35,938","37,481","38,101","39,448","41,512","43,724","47,618","51,541","54,427","56,965","103,935","106,495","107,821","109,849","112,513","115,537","119,680","124,869","127,392","129,264",경상북도 경산시 ,4729000000,경상북도,경산시 ,0.568
경상북도 군위군 (4772000000),"5,391","5,481","5,728","5,985","6,220","6,424","6,744","6,970","7,346","10,000","12,038","12,189","12,428","12,670","12,784","12,938","13,096","13,258","13,693","13,960",경상북도 군위군 ,4772000000,경상북도,군위군 ,0.1
경상북도 의성군 (4773000000),"11,901","12,124","12,284","12,646","13,055","13,594","14,430","14,812","15,279","15,961","27,352","27,398","27,440","27,574","27,822","28,212","28,750","28,798","29,005","29,471",경상북도 의성군 ,4773000000,경상북도,의성군 ,0.159
경상북도 청송군 (4775000000),"5,887","5,997","6,138","6,373","6,654","6,938","7,244","7,345","7,393","7,440","13,220","13,332","13,460","13,562","13,723","13,862","14,064","14,029","14,038","13,999",경상북도 청송군 ,4775000000,경상북도,청송군 ,0.074
경상북도 영양군 (4776000000),"3,813","3,868","3,918","4,016","4,160","4,298","4,591","4,599","4,732","4,765","8,817","8,784","8,800","8,827","8,913","8,942","9,127","9,055","9,070","8,994",경상북도 영양군 ,4776000000,경상북도,영양군 ,0.048
경상북도 영덕군 (4777000000),"9,427","9,538","9,739","9,709","9,905","10,101","10,458","10,452","10,502","10,691","20,006","20,039","20,185","20,045","20,123","20,085","20,153","19,895","19,741","19,725",경상북도 영덕군 ,4777000000,경상북도,영덕군 ,0.107
경상북도 청도군 (4782000000),"9,417","9,764","9,971","10,239","10,575","10,878","11,414","11,980","12,241","12,440","21,211","21,493","21,722","21,912","22,181","22,473","22,843","23,251","23,443","23,525",경상북도 청도군 ,4782000000,경상북도,청도군 ,0.124
경상북도 고령군 (4783000000),"6,750","6,911","6,967","7,130","7,306","7,469","8,106","8,376","8,725","9,127","16,163","16,218","16,215","16,241","16,204","16,227","16,497","16,556","16,758","17,023",경상북도 고령군 ,4783000000,경상북도,고령군 ,0.091
경상북도 성주군 (4784000000),"9,073","9,489","9,837","10,443","10,889","11,272","12,059","12,291","12,648","12,967","20,989","21,444","21,877","22,389","22,677","22,915","23,516","23,621","23,918","24,059",경상북도 성주군 ,4784000000,경상북도,성주군 ,0.129
경상북도 칠곡군 (4785000000),"21,338","21,495","21,700","21,350","21,241","21,654","22,296","23,261","24,167","24,757","52,555","53,174","53,695","52,993","52,599","52,659","53,026","53,883","54,443","54,578",경상북도 칠곡군 ,4785000000,경상북도,칠곡군 ,0.247
경상북도 예천군 (4790000000),"8,895","9,053","9,363","9,824","10,433","11,079","11,750","12,170","12,590","12,727","21,394","21,395","22,123","23,504","25,273","26,453","27,301","27,771","28,155","28,145",경상북도 예천군 ,4790000000,경상북도,예천군 ,0.127
경상북도 봉화군 (4792000000),"6,934","7,127","7,312","7,472","7,705","7,912","8,291","8,439","8,569","8,770","16,268","16,409","16,492","16,583","16,705","16,705","16,908","16,882","16,830","16,823",경상북도 봉화군 ,4792000000,경상북도,봉화군 ,0.087
