행정구역+A1:R29,2014년_1인세대,2015년_1인세대,2016년_1인세대,2017년_1인세대,2018년_1인세대,2019년_1인세대,2020년_1인세대,2021년_1인세대,2022년_1인세대,2023년_1인세대,2014년_전체세대,2015년_전체세대,2016년_전체세대,2017년_전체세대,2018년_전체세대,2019년_전체세대,2020년_전체세대,2021년_전체세대,2022년_전체세대,2023년_전체세대,행정구역1,행정구역코드,행정시,행정구,1인가구비율
서울특별시 강남구 (1168000000),"87,790","88,365","87,495","87,820","88,584","92,008","95,007","95,099","94,198","96,423","237,375","237,373","234,080","231,612","228,775","232,981","234,872","234,233","232,777","239,775",서울특별시 강남구 ,1168000000,서울특별시,강남구 ,0.962
서울특별시 송파구 (1171000000),"79,365","79,291","81,256","85,227","90,734","95,719","100,587","103,275","105,192","107,873","257,207","256,611","258,382","264,628","270,866","278,711","281,959","282,417","284,853","285,927",서울특별시 송파구 ,1171000000,서울특별시,송파구 ,1.076
서울특별시 강동구 (1174000000),"57,981","57,165","57,735","59,590","61,564","64,739","70,081","74,313","75,420","77,282","185,905","180,508","177,460","177,407","177,247","183,390","196,499","201,613","202,169","203,734",서울특별시 강동구 ,1174000000,서울특별시,강동구 ,0.771
부산광역시 중구 (2611000000),"11,635","11,645","11,865","12,208","12,302","12,837","13,800","14,166","14,555","14,674","23,493","23,295","23,282","23,284","22,975","23,160","23,847","23,925","23,960","23,747",부산광역시 중구 ,2611000000,부산광역시,중구 ,0.146
부산광역시 서구 (2614000000),"22,465","22,723","22,786","23,106","23,834","24,442","25,428","25,123","25,749","26,085","53,417","53,199","52,497","51,953","52,819","52,786","53,853","52,960","53,626","53,630",부산광역시 서구 ,2614000000,부산광역시,서구 ,0.26
부산광역시 동구 (2617000000),"18,558","19,010","19,275","19,946","20,333","21,403","22,467","23,211","23,510","24,207","43,728","43,430","43,036","43,413","43,261","44,657","46,003","46,362","46,349","47,428",부산광역시 동구 ,2617000000,부산광역시,동구 ,0.241
부산광역시 영도구 (2620000000),"20,092","20,612","20,904","21,451","22,017","22,459","23,453","23,803","24,142","24,659","56,580","56,446","55,893","55,713","55,312","54,859","54,903","54,659","54,342","54,293",부산광역시 영도구 ,2620000000,부산광역시,영도구 ,0.246
부산광역시 부산진구 (2623000000),"60,546","62,094","63,831","66,369","67,614","70,508","76,432","78,075","82,255","85,125","165,056","165,199","165,238","166,491","165,253","166,865","173,263","173,353","178,049","181,914",부산광역시 부산진구 ,2623000000,부산광역시,부산진구 ,0.849
부산광역시 동래구 (2626000000),"31,424","31,662","32,598","33,592","34,347","36,051","38,717","40,390","42,212","42,932","107,023","106,766","107,917","108,609","108,757","112,136","114,987","115,718","119,503","119,706",부산광역시 동래구 ,2626000000,부산광역시,동래구 ,0.428
부산광역시 남구 (2629000000),"35,166","35,834","36,597","37,980","39,555","40,871","43,357","44,777","46,251","47,609","114,412","114,120","113,791","113,898","117,558","117,397","117,876","117,821","117,601","118,427",부산광역시 남구 ,2629000000,부산광역시,남구 ,0.475
부산광역시 북구 (2632000000),"30,895","32,386","33,979","35,294","36,430","37,859","39,663","41,799","42,914","43,789","115,869","118,865","120,707","120,249","120,036","120,273","120,668","123,316","123,569","123,082",부산광역시 북구 ,2632000000,부산광역시,북구 ,0.437
부산광역시 해운대구 (2635000000),"45,606","47,766","48,784","50,473","52,340","54,794","58,018","60,095","60,399","60,896","162,347","164,386","165,290","165,002","166,748","168,650","171,376","172,397","170,435","169,532",부산광역시 해운대구 ,2635000000,부산광역시,해운대구 ,0.607
부산광역시 사하구 (2638000000),"40,020","41,069","42,702","44,745","46,945","48,953","51,458","53,404","55,662","56,770","134,877","134,692","135,641","137,679","138,503","138,790","138,854","139,604","140,778","140,764",부산광역시 사하구 ,2638000000,부산광역시,사하구 ,0.566
부산광역시 금정구 (2641000000),"32,628","34,131","35,952","38,091","39,949","41,618","43,856","45,670","46,294","47,015","100,616","101,130","102,522","104,827","106,415","107,024","107,561","108,070","106,950","105,906",부산광역시 금정구 ,2641000000,부산광역시,금정구 ,0.469
부산광역시 강서구 (2644000000),"12,100","13,414","14,785","16,180","17,297","18,730","20,691","22,827","23,777","23,747","33,165","38,727","44,112","47,850","50,488","53,731","58,141","61,502","62,426","62,238",부산광역시 강서구 ,2644000000,부산광역시,강서구 ,0.237
부산광역시 연제구 (2647000000),"25,854","26,225","26,902","28,424","30,008","31,774","33,847","35,220","36,079","37,786","83,188","84,543","84,398","85,892","87,833","90,266","92,583","93,606","93,557","95,873",부산광역시 연제구 ,2647000000,부산광역시,연제구 ,0.377
부산광역시 수영구 (2650000000),"24,975","26,604","28,312","30,254","31,438","33,145","35,828","38,195","40,097","41,182","74,356","76,325","77,733","79,788","79,842","81,452","84,311","85,896","87,361","88,299",부산광역시 수영구 ,2650000000,부산광역시,수영구 ,0.411
부산광역시 사상구 (2653000000),"30,511","31,542","32,468","34,099","35,073","36,374","38,706","40,997","42,160","43,726","96,915","96,671","96,403","97,169","96,698","96,726","97,556","98,621","98,625","100,003",부산광역시 사상구 ,2653000000,부산광역시,사상구 ,0.436
